name,surname,email,pass_type,se_pass,pass_id,ipn,region,city,phone,password,question,answer,iban,secret_key
fjn,jdn,i@i.ua,card,,222222222,222222222222,Львівська,Трускавець,951601805,Qw1rQw1r,mother-surname,bruh,UA44305299000004000003112732980,DMnXERnYYrYGXKy4JbU02NKoe9MONRtHzCrYEMbMtNQipHoCT5Svqtp0guA6lDlU
bfjdb,ed cn,ilon@gmail.com,card,,876543456,876543456789,Одеська,Ізмаїл,951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000007321752481,SLEGT0wHgqYfm6nMubL5w4QLhQ8vq5EmGheTABZ95UH6a5TDkncAphwuXo85N3oa
dndj,dcn,ilon@oj.com,card,,987654334,765432345678,Миколаївська,Вільна Поляна,951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000007856605642,7aP1IJghUjpT1xbjNDvH33vZmiCmPwEouBNbWJqmatBsTXNCugx88iygZmTXkURb
jbj,s dn,i@i.ua,card,,987654345,111111111111,м Севастополь,Передове,951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000000651970681,lYuit9GrUwvaVetsRmaR44h96yyBWb7d4XFOQdV6WW2MSFfbNBiM8AUXSaEpeZXG
j,n,n@n.com,card,,888888888,888888888888,Донецька,Бахмутське,951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000006380499390,Jr451FwQ9QsR1htL7X1GU5j6jmhYRiybKB0BevMrqIlIm3Qa3rBXUCKGXQhrBcMg
fvn,ndc,i@i.ua,card,,987777777,777777777777,Вінницька,Адамівка,951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000006188800310,HfxNIiHbU900vIFm7ibHRjf5Rcy4owAOofRChX4zwHy7JyCotpEhmj0n1wy1sPxh
dm,nd ,i@i.ua,card,,888888888,888888888888,Дніпропетровська,Андріївка,380951601805,Qw1rQw1r,favorite-dish,bruh,UA44305299000004000001639455913,7x5mX0gjW0fBEyPWxaK4skLsT5EPtzDlnZTrxY6MxFC9Ohx6KgIZCwbZ3Vvrmhc3
iVan,Darkholme,vanya.zombi2@gmail.com,book,ТТ,123456,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,Six hot loads,UA44305299000004000004869123260,GRPk38d5U2N3OBaJSYUmCpcGu8g1kcNdaBKWGmDbF8DPCPYUj0jEbWZJN0CMVLxW
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000009587871247,EVVRfWd2S9wwjEUDqO7PIrMkUzKa5UNKuMEazjJgXV9l7pzG2LhZasPKMtT1Rk1I
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000009128262747,BPdQizBTRRhfP254vEBXcTWqmroR45slWyTvqixIbamtfeVcRMUYsHtaIOqqmeLh
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000002576915883,XZaQ3e7uDLP7kiQ3BQqcgQNKiFqAz8mtQm0wU6S3i3NS0hDyrHBMSJwC0uGhvPDa
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000001663555772,GeA7MJOIthm7vvlLEejhtRMmFIkb3J08DSDXxCnjohYqLOrChW2g0obbd2CdQkjd
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000003393639663,13O1bfYdmpmo6pRFxFMlULzIZm6jEnfBO3Tcz4uNygI6j48h5PQf6ZFC6pzBMoUR
iVan,DungeonMaster,vanya.zombi2@gmail.com,card,1,123456789,1234567891,м.Київ,Київ,380951601805,Qw1rQw1r,favorite-dish,SixHotLoads,UA44305299000004000006233751260,OFoJI2bygzrDCBCJM4c27xHZmJ85k6jzEZ8UW7hreMEUhZDFHmN4k5ptu9wbXs6Y
